hometown,country
"Medford Lakes, NJ",USA
"Half Moon Bay, CA",USA
"Berthoud, CO",USA
"Mill Valley, CA",USA
"Mandeville, LA",USA
"Matthews, NC",USA
"Spartanburg,SC",USA
"Moncks Corner,SC",USA
"Bowling Green, KY",USA
"Jonesboro, GA",USA
"Darlington, SC",USA
"Sumter, SC",USA
"East Hampton, N.Y.",USA
"Wayne, N.J.",USA
"Greenville, NC",USA
"Avon, IN",USA
"Columbia, TN",USA
"Henderson, KY",USA
"Chagrin Falls, OH",USA
"Covington, IN",USA
"Newburgh, IN",USA
"Chicago Heights, IL",USA
"Merrimack, NH",USA
"Moodus, CT",USA
"Rochester, NH",USA
"Wappingers Falls, NY",USA
"Biddeford, ME",USA
"Lawrence, MA",USA
"Pismo Beach, CA",USA
"Nottingham, NH",USA
"Williston, VT",USA
"Minnetrista, MN",USA
"Spanish Fork, UT",USA
"Upland, CA",USA
"Litchfield Park, AZ",USA
"Palos Heights, IL",USA
"Questa, N.M.",USA
"Staten Island, N.Y,",USA
"Island Park, N.Y.",USA
"Fairview, PA",USA
"Wyomissing, PA",USA
"Glen Mills, PA",USA
"Broomall, PA",USA
"Doylestown, PA",USA
"Charlottesville, VA",USA
"Dallas, PA",USA
"Annandale, VA",USA
"Lago Vista, TX",USA
"Scotch Plains, NJ",USA
"La Cañada Flintridge, Calif.",USA
"Portsmouth, N.H.",USA
"McAllen, Texas",USA
"Williamstown, NJ",USA
"Temple Hills, MD",USA
"Gaithersburg, MD",USA
"Silver Springs, MD",USA
"Owings, MD",USA
"Urbana, MD",USA
"Accokeek, MD",USA
"Oxon Hill, MD",USA
"Brandywine, MD",USA
"Capitol Heights, MD",USA
"Cuero, TX",USA
"Gibson City, IL",USA
"Waco, TX",USA
"Irving, TX",USA
"Double Oak, TX",USA
"Brookston, IN",USA
"Martinsville, IN",USA
"Boerne, TX",USA
"Cibolo, TX",USA
"Boardman, Ohio",USA
"Fayettville, N.C.",USA
"Croton on Hudson, NY",USA
"Calabasas, CA",USA
"Kalamazoo, MI",USA
"Califon, N.J.",USA
"Barrington, R.I.",USA
"Walkertown, N.C.",USA
"Orangeburge, S.C.",USA
"Greenlawn, N.Y.",USA
"Halfmoon, N.Y.",USA
"Harrington Park, N.J.",USA
"South Salem, N.Y.",USA
"Winston-Salem, N.C.",USA
"Granby, MA",USA
"Lone Tree, CO",USA
"Canyon Lake, TX",USA
"Oak Park, IL",USA
"Essex, VT",USA
"Laguna Niguel, CA",USA
"Hanover, VA",USA
"Newton, MA",USA
"Pembroke, VA",USA
"Yorktown, VA",USA
"Asheboro, NC",USA
"Belhaven, N.C.",USA
"Elk River, Minn.",USA
"Norwood Young America, Minn.",USA
"Parkersburg, W.Va.",USA
"Pine Hill, N.J.",USA
"McKees Rocks, Pa.",USA
"Bayamon, P.R.",USA
"Castroville, TX",USA
"Barkhamsted, Conn.",USA
"Centereach, N.Y.",USA
"Port Jefferson, N.Y.",USA
"Florida, N.Y.",USA
"Bellport, N.Y.",USA
"West Sayville, N.Y.",USA
"Red Hook, N.Y.",USA
"Maitland, Fla.",USA
"Fuquay Varina, N.C.",USA
"Big Sky, MT",USA
"Auburn, WA",USA
"Clear Lake, WA",USA
"Everett, WA",USA
"Fox Island, WA",USA
"Boise, ID",USA
"Larkspur, CA",USA
"Cheney, WA",USA
"Port Angeles, WA",USA
"Walpahu, Hi.",USA
"Williamstown, N.J.",USA
"Tamaqua, PA",USA
"Wyalusing, PA",USA
"East Hampton, CT",USA
"Fairfield, PA",USA
"Yaphank, NY",USA
"Wilkes-Barre, PA",USA
"New Hampton, NY",USA
"Palmyra, PA",USA
"Coudersport, PA",USA
"Mays Landing, NJ",USA
"Hanover Township, PA",USA
"Nanticoke, PA",USA
"Exton, PA",USA
"Bogota, N.J.",USA
"Loudoun, Va.",USA
"Harrison, N.J.",USA
"Woodland Park, N.J.",USA
"Milford, N.J.",USA
"Phenix City, AL",USA
"Mint Hill, NC",USA
"West Bloomfield, MI",USA
"St. Cloud, MN",USA
Port Washington,USA
Hartland,USA
"Marthasville, MO",USA
"Racine, WI",USA
"Dousman, WI",USA
"Moline, IL",USA
"Oak Creek, WI",USA
"Pennock, Minn.",USA
"New Prague, Minn.",USA
"Windom, Minn.",USA
"White Bear Lake, Minn.",USA
"Hayfield, Minn.",USA
"Corcoran, Minn.",USA
"Grand Rapids, Minn.",USA
"Hermanton, Minn.",USA
"St. Clair, Minn.",USA
"Gilbert, Minn.",USA
"Nashua, N.H.",USA
"Zeeland, MI",USA
"Yorktown, IN",USA
"Avon Lake, OH",USA
"Lakewood, IL",USA
"Little Elm, TX",USA
"Grover, NC",USA
"Mukwonago, WI",USA
"Sagamore Hills, OH",USA
"Connersville, IN",USA
"Saddle River, N.J.",USA
"Cheektowaga, NY",USA
"Basom, NY",USA
"Hamburg, NY",USA
"Mechanicville, NY",USA
"Ransomville, NY",USA
"Chaffee, NY",USA
"Edgerton, Minn.",USA
"Rollingstone, Minn.",USA
"Bird Island, Minn.",USA
"Pelham, N.H.",USA
"Falling Waters, W.Va.",USA
"Liberty City, TX",USA
"Garland, TX",USA
"Tatum, TX",USA
"Rowlett, TX",USA
"Haughton, LA",USA
"Wimberley, TX",USA
"Stafford, TX",USA
"Inglewood, CA",USA
"Spring Hill, TN",USA
"Clara City, Minn.",USA
"Slayton, Minn.",USA
"Lamberton, Minn.",USA
"Taylors Falls, Minn.",USA
"Colerain, N.C.",USA
"Columbia, SC",USA
"Inman, S.C.",USA
"Cassatt, S.C.",USA
"Pacolet, S.C.",USA
"Ninety Six, S.C.",USA
"Punta Gorda, FL",USA
"Woodland Park, CO",USA
"Newark, N.J.",USA
"Manahawkin, N.J.",USA
"Spring Lake, N.J.",USA
"Baldwin, N.Y.",USA
"Tuckerton, N.J.",USA
"Le Sueur, Minn.",USA
"Rush City, Minn.",USA
Fontana,USA
"Abiquiu, N.M.",USA
"Reno, NV",USA
"Crystal Lake, IL",USA
"West Covina, CA",USA
"San Bernardino, CA",USA
"Rialto, CA",USA
"Westerville,OH",USA
"Martinsburg, WV",USA
"Wiley Ford,WV",USA
"Akron,OH",USA
"Sugar Grove, OH",USA
"Marion, OH",USA
"McArthur, OH",USA
"Parkersburg, WV",USA
"Middletown, OH",USA
"Chillicothe,OH",USA
"Union, N.J.",USA
"Fond du Lac, Wis.",USA
"Cheyenne, WY",USA
"Potsdam, NY",USA
"Wynnewood, PA",USA
"Stone Mountain, GA",USA
"Manhattan, N.Y.",USA
"Charlotte, N.C",USA
"Hurricane, W.Va",USA
"Charleston, W.Va",USA
"Belington, W.Va",USA
"Buckhannon, W.Va.",USA
"Inwood, W.Va",USA
"Statesville, NC",USA
"Blue Bell, PA",USA
"Pleasant Valley, NY",USA
"Moncks Corner, SC",USA
"Caguas, PR",USA
"Lutherville, MD",USA
"Hasbrouck Heights, NJ",USA
"Minden, NV",USA
"Chula Vista, CA",USA
"Canyon Lake, CA",USA
"Chicago, Ill. / Mother McAuley Liberal Arts",USA
"DeBary, Fla. / Lake Brantley",USA
"East Orange, NJ",USA
"Roselle, NJ",USA
"Budd Lake, NJ",USA
"Ottumwa, IA",USA
"Santa Rose Beach, FL",USA
"Paterson, NJ",USA
"Fairfield, NJ",USA
"Narrows, VA",USA
"Reese, MI",USA
"Wytheville, VA",USA
"Riner, VA",USA
"Spring Grove, IL",USA
"Boynton Beach, FL",USA
"Laramie, WY",USA
"Radford, VA",USA
"Charles Town, WV",USA
"Red Oak, TX",USA
"Bonnie Lake, WA",USA
"Pleasant Prairie, WI",USA
"Oak Ridge, N.J.",USA
"Beachwood, NJ",USA
"Toms River, N.J.",USA
"Chatsworth, N.J.",USA
"Roselle, N.J.",USA
"Hillside, N.J.",USA
"Kingston, PA",USA
Jacksonville. NC,USA
"Harmony, N.C.",USA
"Catawba, N.C.",USA
"Purlear, N.C.",USA
"Norwood, N.C.",USA
"Liberty, N.C.",USA
"Chesterfield, S.C.",USA
"Mt. Pleasant, N.C.",USA
