School,Name,Position,Class,Height,Hometown,High School
Colorado St.-Pueblo,Macy Wood,Middle Blocker,Fr.,,"Sandy, Utah",Alta
Colorado St.-Pueblo,Brooklyn Casey,Opposite,Jr.,,"Peoria, Ariz.",Liberty
Colorado St.-Pueblo,Maddox Richtmyre,Libero,Fr.,,"Surprise, Ariz.",Willow Canyon
Colorado St.-Pueblo,Savannah Coats,Outside Hitter,R-So.,,"McHenry, Ill.",McHenry
Colorado St.-Pueblo,Andi Nothdurft,Middle Blocker,Fr.,,"Gilbert, Ariz.",Gilbert
Colorado St.-Pueblo,Taylor Cary,Outside Hitter,So.,,"Highlands Ranch, Colo.",Rock Canyon
Colorado St.-Pueblo,Golden Finch,Middle Blocker,R-So.,,"Albuquerque, N.M.",Sandia
Colorado St.-Pueblo,Sadie Scoville,Outside Hitter,So.,,"Pleasant Grove, Utah",Pleasant Grove
Colorado St.-Pueblo,Kealey Marshall,Libero,Sr.,,"Aurora, Colo.",Cherokee Trail
Colorado St.-Pueblo,Sophie Mika,Setter,Fr.,,"St. Louis, Mo.",Ursuline Academy
Colorado St.-Pueblo,Bailey Combs,Opposite,Sr.,,"Fresno, Calif.",Central
Colorado St.-Pueblo,Payton Van Veen,Outside Hitter,R-So.,,"Springfield, Mo.",Willard
Colorado St.-Pueblo,Ally  Lange,Middle Blocker,Fr.,,"Carterville, Ill.",Carterville
Colorado St.-Pueblo,Taylor Maguire,Libero,Sr.,,"Lyons, Colo.",Lyons
Colorado St.-Pueblo,Sabrina King,Setter,Jr.,,"Parker, Colo.",Lutheran
Colorado St.-Pueblo,Ceanna O'Loughlin,Outside Hitter,Fr.,,"Beaverton, Ore.",Jesuit
Hartwick,Shaelyn Thornton,Outside Hitter,Jr.,,"Scarborough, Me.",Colby Sawyer College (NCAA)
Hartwick,Ellie Kalbach,Setter,So.,,"Spring City, Pa.",Owen J. Roberts
Hartwick,Niah Reeves,Middle Hitter,So.,,"Binghamton, N.Y.",Chenango Valley
Hartwick,Kaileigh Brandow,Outside Hitter,Sr.,,"Manorville, NY",Eastport South Manor
Hartwick,Hannah Strong,Outside Hitter / Libero,So.,,"Hudson Falls, N.Y.",Hudson Falls
Hartwick,Mary Kinnane,Right Side,So.,,"Rockaway Beach, N.Y.",Poly Prep Country Day School
Hartwick,Arianna Thompson,Outside Hitter / Right Side,Jr.,,"Hogansburg, N.Y.",Massena Central
Hartwick,Staecia Silofau,Right Side / Outside Hitter,Jr.,,"Kapolei, HI",Maryknoll
Hartwick,Shelby Swartz,Right Side / Outside Hitter,So.,,"Candor, N.Y.",Candor
Hartwick,Aaliyah Williams,Middle Hitter / Right Side,Jr.,,"Poughkeepsie, NY",Franklin D. Roosevelt
Hartwick,Madison Callahan,Middle Hitter / Right Side,Fr.,,"Newburgh, N.Y.",Marlboro
Hartwick,Isabella Gracias,Middle Hitter / Right Side,Fr.,,"Oneonta, N.Y.",Oneonta
Hartwick,Sophia Palladino,Outside Hitter,Fr.,,"Owego, N.Y.",Owego Free Academy
Hartwick,Vanessa Seymour,Setter,Fr.,,"Hopewell Junction, N.Y.",Our Lady of Lourdes
Hartwick,Mallory Muglio,Libero/Defensive Specialist,Fr.,,"Brewster, N.Y.",Carmel
Hartwick,Sarah Petz,Libero / Defensive Specialist,Gr.,,"Webster, NY",Webster Thomas
Howard Payne,Kristen Prendergast,Right Side,So.,,"Midlothian, Texas",Ovilla Christian HS
Howard Payne,Jaiden Albright,Defensive Specialist,So.,,"Pasadena, Texas",Grace Christian HS
Howard Payne,Baylee Burns,Defensive Specialist,Fr.,,"Krum, Texas",Krum HS
Howard Payne,Addison Roden,Setter,Fr.,,"Magnolia, Texas",Magnolia West HS
Howard Payne,Riley Brittain,Setter,Sr.,,"New Braunfels, Texas",Seguin HS
Howard Payne,Madai Suarez,Setter/Right Side,Fr.,,"Atascocita, Texas",Atascocita HS
Howard Payne,Rylee Spencer,Middle Blocker,Jr.,,"Boyd, Texas",Boyd HS
Howard Payne,Brylee Awbrey,Outside Hitter,Jr.,,"Midland, Texas",Midland HS
Howard Payne,Brooke O'Neal,Right Side/Middle Blocker,Jr.,,"Red Oak, Texas",Red Oak HS
Howard Payne,Fabianna Bennett,Outside Hitter/Right Side,Sr.,,"Killeen, Texas",Ellison HS
Howard Payne,Kassidy  Johnson,Defensive Specialist,Fr.,,"Magnolia, Texas",Magnolia West HS
Howard Payne,Brandy Coward,Middle Hitter/Outside Hitter,Fr.,,"San Angelo, Texas",Lake View HS
Howard Payne,Makenzie Weddel,Outside Hitter/Right Side,Fr.,,"The Woodlands, Texas",The Woodlands HS
Howard Payne,Jayden Harrison,Defensive Specialist,Fr.,,"San Antonio, Texas",James Madison HS
Howard Payne,Kaitlyn Morales,Outside Hitter/Right Side,Fr.,,"Devine, Texas",Devine HS
Howard Payne,Allison Layton,Middle Hitter,Fr.,,"Bryan, Texas",Rudder HS
Howard Payne,Rylee McAlexander,Middle Hitter,Fr.,,"Montgomery, Texas",Lake Creek HS
Howard Payne,Madison Spencer,Defensive Specialist,So.,,"El Paso, Texas",Hanks HS
Pacific (OR),Mackenzie Dauden,Setter,Fr.,,"El Dorado Hills, CA",Oak Ridge
Pacific (OR),Emily Cheavtharn,Setter,Sr.,,"Salem, OR",West Salem
Pacific (OR),Rhylee Corpuz,Defensive Specialist,Sr.,,"Hilo, HI",Christian Liberty Academy
Pacific (OR),Lacy Churchfield,Outside Hitter,So.,,"Baker City, OR",Baker High School
Pacific (OR),Emma Velchek,Outside Hitter,Fr.,,"Carlsbad, CA",Sage Creek
Pacific (OR),Claire Stipsits,Outside Hitter,Sr.,,"Burlington, Ontario, Canada",Hillfield Strathallan College
Pacific (OR),Alyssa Cargill,Libero,So.,,"Tracy, CA",Tracy High School
Pacific (OR),Sarah Hon,Middle Blocker,Jr.,,"Frazier Park, CA",Frazier Mountain High School
Pacific (OR),LilaRose Everingham,Middle Blocker,Fr.,,"Colorado Springs, CO",Cheyenne Mountain
Pacific (OR),Mara Murphy,Outside Hitter,Jr.,,"Salt Lake City, UT",West High School
Heidelberg,Grace Porter,RS,Jr.,,"Toledo, Ohio",Toledo Christian
Heidelberg,Lexi Wachtman,OH,Jr.,,"Defiance, Ohio",Tinora
Heidelberg,Grace Dohanyos,DS,So.,,"Fostoria, Ohio",Hopewell Loudon
Heidelberg,Avery Reagan,OH/RS,Fr.,,"Newark, Ohio",Newark
Heidelberg,Sophie Madison,OH/DS,Fr.,,"Parma, Ohio",Parma
Heidelberg,Shannon Petrulis,OH/RS,Fr.,,"Medina, Ohio",Medina
Heidelberg,Anamya Truex,MH,Sr.,,"Wapakoneta, Ohio",Allen East
Heidelberg,Lexi Evak,MH,Sr.,,"New Washington, Ohio",Buckeye Central
Heidelberg,Grace Smith,DS,So.,,"Hinckley, Ohio",Highland
Heidelberg,Bridgette Burrus,S,Sr.,,"Hubbard, Ohio",Hubbard
Heidelberg,Reagan Ritzhaupt,OH/RS,Fr.,,"Bucyrus, Ohio",Col. Crawford
Heidelberg,Chris Rodriguez,OH,Fr.,,"San Juan, P.R.",Lakeside (OH)
Heidelberg,Jeylo Rodriguez,DS,Jr.,,"San Juan, P.R.",Lakeside (OH)
Heidelberg,Nicole Thomas,DS,Sr.,,"Galion, Ohio",Galion
Heidelberg,Riley Ameel,MH,Jr.,,"Casco, Mich.",Romeo HS
Heidelberg,Anneliese Schriber,OH/RS,Fr.,,"Troy, Mich.",Athens
Heidelberg,Gabby Wolfe,MH/RS,So.,,"Newark, Ohio",Newark
Heidelberg,Faith Brown,OH,Fr.,,"Holmesville, Ohio",Waynedale
Heidelberg,Gabby Cumbo,S,Fr.,,"Carleton, Mich.",Huron
Heidelberg,Cait Weirich,DS,Sr.,,"Oregon, Ohio",Clay
Heidelberg,Kaitlyn Uffman,OH,So.,,"Liberty Twp., Ohio",Cincinnati Christian
Heidelberg,Maddie Reed,S,Fr.,,"Cuyahoga Falls, Ohio",Walsh Jesuit
Heidelberg,Livia Blackburn,DS,Fr.,,"Goodyear, Ariz.",Estrella Foothills
Heidelberg,Riley Tople,RS,So.,,"Plymouth, Mich.",Divine Child
Heidelberg,Michaela Stevens,S,Fr.,,"Massillon, Ohio",Tuslaw
Heidelberg,Jocelyn Teresi,OH/DS,Fr.,,"Erie, Pa.",McDowell
Heidelberg,Kelsey Crumley,OH/RS,So.,,"Pickerington, Ohio",Central
Heidelberg,Natalie Chiles,DS,So.,,"Reynoldsburg, Ohio",Pickerington Central
Heidelberg,Mikayla Sage,MH,Jr.,,"Baltimore, Ohio",Liberty Union
Washburn,Kali Henry,Defensive Specialist/Libero,RS-Fr.,,"Tecumseh, Kan.",Shawnee Heights
Washburn,Heather Schemper,Outside Hitter/Middle Blocker,Fr.,,"Phillipsburg, Kan.",Phillipsburg
Washburn,Taylor Rottinghaus,Defensive Specialist/Libero,Fr.,,"Berryton, Kan.",Shawnee Heights
Washburn,Emma Williams,Defensive Specialist,So.,,"Leawood, Kan.",Blue Valley
Washburn,Gracie Kircher,Outside Hitter/Right Side,Fr.,,"Hickman, Neb.",Norris
Washburn,Rylee Unruh,Outside Hitter,Fr.,,"Lawrence, Kan.",Free State
Washburn,Rachel Schwensen,Right Side,Gr.,,"Lawrence, Kan.",Free State
Washburn,Jalyn Stevenson,Outside Hitter,Jr.,,"Spring Hill, Kan.",Spring Hill
Washburn,Iyannah Jackson,Middle Hitter,So.,,"Lansing, Kan.",Lansing
Washburn,Corinna McMullen,Setter,So.,,"Bucyrus, Kan.",Louisburg
Washburn,Sophia Cavanaugh,Outside Hitter,Fr.,,"Chapman, Kan.",Chapman
Washburn,Sydney Conner,Setter,So.,,"Kearney, Neb.",Kearney Catholic
Washburn,Natalie Hedlund,Outside Hitter/Middle Blocker,Fr.,,"Fairfax, Mo.",Fairfax
Washburn,Maddie Steiner,Defensive Specialist/Libero,Jr.,,"Topeka, Kan.",Seaman
Washburn,Taryn Pridgett,Outside Hitter,Jr.,,"Topeka, Kan.",Cair Paravel Latin School
Washburn,Bella Limback,Outside Hitter,So.,,"Waverly, Mo.",Santa Fe
Washburn,Brooklyn Lassiter,Middle Hitter,RS-Fr.,,"Topeka, Kan.",Grace Academy
Washburn,Austin Broadie,Middle Hitter,So.,,"Burns, Kan.",Trinity Academy
Hollins,Zo Miranda,Libero,Sr.,,"Columbia, Md.",Hammond
Hollins,Makhaila Johnson,Outside Hitter,FY,,"Falls Church, Va.",Trinity School at Meadowview
Hollins,Fin Bolt,Libero,FY,,"Pittsboro, N.C.",Apex Friendship
Hollins,Selena Wolfe,Outside Hitter,Sr.,,"Warm Springs, Va.",Bath County
Hollins,Sienna Shaw,Outside Hitter/Setter,FY,,"Burke, Va.",Lake Braddock
Hollins,Faith Schaefer,Middle Hitter,Sr.,,"Warrenton, Va.",Kettle Run
Hollins,Alana Joyner,Middle Hitter,FY,,"Wilmington, N.C.",Eugene Ashley
Hollins,Jaelyn Werley,Setter,So.,,"Albuquerque, N.M.",La Cueva
Hollins,Carrie Nelson,Outside Hitter/Opposite,So.,,"Warsaw, Va.",St. Margarets
Hollins,Cassidy Henderson,Middle Hitter,FY,,"Sanford, N.C.",Harnett County Early College
Hollins,Sophia  Maurer,Middle Hitter,So.,,"Rio Rancho, N.M.",V Sue Cleveland
Birmingham-Southern,Claire Hayes,Middle Blocker,So.,,"Robertsdale, Ala.",St. Michael Catholic HS
Birmingham-Southern,Taylor Bentley,Outside Hitter,Jr.,,"Tuscaloosa, Ala.",Northridge HS
Birmingham-Southern,Kylie Wilhelmi,Outside Hitter/Opposite Hitter,So.,,"Cherry Valley, Ill.",Rockford Lutheran HS
Birmingham-Southern,Grace Waddell,Defensive Specialist,Jr.,,"Tuscaloosa, Ala.",Northridge HS
Birmingham-Southern,Sydney Bixby,Setter,Fr.,,"Nashville, Tenn.",Father Ryan HS
Birmingham-Southern,Chloe Staggs,Outside Hitter,Fr.,,"North Little Rock, Ark.",North Little Rock HS
Birmingham-Southern,Gracie Sims,Outside Hitter/Opposite Hitter,So.,,"Mobile, Ala.",Bayside Academy
Birmingham-Southern,Madison Williams,Middle Blocker,Jr.,,"Decatur, Ala.",Austin HS
Birmingham-Southern,Emily Buhl,Outside Hitter,Jr.,,"Fairhope, Ala. / Oslo, Norway",Bayside Academy
Birmingham-Southern,Ainsley Schultz,Setter,Sr.,,"Birmingham, Ala.",Vestavia Hills HS
Birmingham-Southern,Lily Williamson,Defensive Specialist,Jr.,,"Little Rock, Ark.",Mount St. Mary Academy
Birmingham-Southern,Abby Dunford,Defensive Specialist,Sr.,,"Huntsville, Ala.",Huntsville HS
Birmingham-Southern,Samarin Kipple,Defensive Specialist,Fr.,,"Pilot Mountain, N.C.",East Surry HS
Hiram,Kayla Franks,OH,Jr.,,"Cleveland Heights, Ohio",Villa Angela-St. Joseph
Hiram,Kelly Hoffman,S/DS,So.,,"Streetsboro, Ohio",Crestwood
Hiram,Amber Fox,MB/RS,Sr.,,"New Franklin, Ohio",Manchester
Hiram,Maddyn Corcoran,DS,Fr.,,"Elyria, Ohio",Elyria Catholic
Hiram,Madison Russell,DS,Jr.,,"North Ridgeville, Ohio",North Ridgeville
Hiram,Karissa Zelenak,RS,So.,,"Stow, Ohio",Stow-Munroe Falls
Hiram,Olivia Meany,S,Jr.,,"Berea, Ohio",Berea-Midpark
Hiram,Brooke Fishback,DS/S,So.,,"Aurora, Ohio",Aurora
Hiram,Avery Clay,MB,Fr.,,"Warren, Ohio",Champion
Hiram,Cate Maguire,MB,Jr.,,"Austintown, Ohio",Austintown Fitch
Hiram,Emily Richardson,MB,Jr.,,"Brunswick, Ohio",Brunswick
Hiram,Sophia Grdina,DS,Jr.,,"Cuyahoga Falls, Ohio",Archbishop Hoban
Hiram,Erin Burke,S,So.,,"Youngstown, Ohio",Austintown Fitch
Hiram,Claire Brunner,MB/OH,Fr.,,"Alliance, Ohio",West Branch
Hiram,Brooke Norris,OH,So.,,"Cuyahoga Falls, Ohio",Walsh Jesuit
Hiram,Andrya Hanmore,RS/S,Jr.,,"Kent, Ohio",Theodore Roosevelt
Transylvania,Cate Scheper,OH,Jr.,,"Crestview Hills, Kentucky",Norte Dame Academy
Transylvania,Ava Beltsos,DS,Sr.,,"Cincinnati, Ohio",Seton High School
Transylvania,Alex O'Connor,DS/L,So.,,"Louisville, Kentucky",Atherton
Transylvania,Grace Ward,S,Sr.,,"Edgewood, Kentucky",Notre Dame Academy
Transylvania,Lexie Huck,S/RS/OH,Sr.,,"Decatur, Illinois",Saint Teresa High School
Transylvania,Audrey  Gass,S,So.,,"Dallas, Texas",The Hockaday School
Transylvania,Sara Spalding,S,So.,,"Bardstown, Kentucky",Bethlehem High School
Transylvania,Isabella Myers,OH,So.,,"Kevil, Kentucky",Ballard Memorial High School
Transylvania,Kennedy Beatty,DS/L,So.,,"Lexington, Kentucky",Sayre School
Transylvania,Suzanne Klosterman,RS,Sr.,,"Cincinnati, Ohio",Seton High school
Transylvania,Jasmine Koonce,MH,So.,,"Georgetown, Kentucky",Great Crossing High School
Transylvania,Makayla Davis,S,Jr.,,"Louisville, Kentucky",duPont Manual High School
Transylvania,Addie  Atcher,OH/RS,Fr.,,"Elizabethtown, Kentucky",Central Hardin High School
Transylvania,Mason Morrow,DS,Jr.,,"Nashville, Tennessee",Father Ryan High School
Transylvania,Megan Sweeney,DS/OP,Fr.,,"Eminence, Kentucky",Eminence High School
Transylvania,Jenna Carter,DS/L,Fr.,,"Shelbyville, Kentucky",Eminence High School
Transylvania,Kayden  Holcomb,MH,Jr.,,"Floyd Knobs, Indiana",Floyd Central High School
Transylvania,Gianna  Pixler,S,Jr.,,"Lexington, Kentucky",Frederick Douglass Highschool
Transylvania,Morgan Crawford,OH/RS,So.,,"Fort Myers, Florida",Bishop Verot Catholic High School
Transylvania,Alicyn Croley,RS,Jr.,,"Williamsburg, Kentucky",Whitley County High School
Transylvania,Madi Davis,MB,Sr.,,"Louisville, Kentucky",Kentucky Country Day
Transylvania,Erin Nerland,OH,Sr.,,"Bowling Green, Kentucky",South Warren High School
Transylvania,Cecilia Roberts,MH,Fr.,,"Louisville, Kentucky",DuPont Manual High School
Transylvania,Maggie Harrison,DS,Jr.,,"Lexington, Kentucky",Frederick Douglass High School
Cal Poly Humboldt,Kailie Flores,Outside Hitter,So.,,"San Bernardino, Calif.",Redlands HS
Cal Poly Humboldt,Graysen Trupp,Outside Hitter/Opposite,Fr.,,"Salt Lake City, Utah",Brighton High School
Cal Poly Humboldt,Elyse McKinney,Middle Blocker/Opposite,Jr.,,"Granada Hills, Calif.",Bishop Alemany HS
Cal Poly Humboldt,Tatyana Tauese Paulino,Libero/Defensive Specialist,Fr.,,"Lakewood, Wash.",Curtis Senior HS
Cal Poly Humboldt,Kyra  Slavik,Setter,Jr.,,"Geneva,Ill.",St.Charles East High School
Cal Poly Humboldt,Lindsey McLaughlin,Outside Hitter,Sr.,,"Fairfield, Calif.",Rodriguez HS
Cal Poly Humboldt,Avery McIntyre,Middle Blocker,So.,,"Cherry Valley, Calif.",Beaumont HS
Cal Poly Humboldt,Mina Barajas,Outside Hitter,Sr.,,"Long Beach, Calif.",Millikan HS
Cal Poly Humboldt,Ava Spoja,Middle Blocker,So.,,"Boise, Idaho",Boise High School
Cal Poly Humboldt,Nicole Yakushenok,Setter,Jr.,,"Aurora, Colo.",Grandview HS
Cal Poly Humboldt,Gianna Giacomotto,Libero/Defensive Specialist,Jr.,,"Sacramento, Calif.",El Camino HS
Cal Poly Humboldt,Kaitlyn Patterson,Libero/Defensive Specialist,Jr.,,"Ewa Beach, Hawaii",Moanalua HS
Cal Poly Humboldt,Neriah Tualaulelei-Malele,Setter/Opposite,Fr.,,"Carson, Calif.",Torrance HS
Cal Poly Humboldt,Hollis Downing,Opposite,Fr.,,"Tacoma, Wash.",Puyallup HS
Cal Poly Humboldt,Awelina Fakalata,Outside Hitter,Jr.,,"Sacramento, Calif.",Casa Grande High School
Cal Poly Humboldt,Aurora Meneghetti,Middle Blocker,Jr.,,"Citrus Heights, Calif.",Casa Roble High School
Cal Poly Humboldt,Ryleeh Tuaolo,Middle Blocker,Fr.,,"Long Beach, Calif.",St. Anthony HS
Cal Poly Humboldt,Shanaley Iakopo,Opposite,Jr.,,"Sacramento, Calif.",Florin High School
Hunter,Desiree Morales,Right Side,Jr.,,"Sunnyside, NY",Long Island City
Hunter,Erin Dugan,Libero,Sr.,,"Woodhaven, NY",Archbishop Molloy
Hunter,Vera Montalbano,Middle Blocker,Fr.,,"Cortland Manor, NY",Hendrick Hudson High School
Hunter,Erin Hyman,Libero,Jr.,,"Forest Hills, NY",Forest Hills High School
Hunter,Bethany Tomaneng,Setter,So.,,"San Diego, CA",Sage Creek
Hunter,Simone McIntyre,Outside Hitter,So.,,"Santa Cruz,CA",Harbor High School
Hunter,Liliana Khidr,Middle Blocker,Sr.,,"Queens, NY",Central Park East
Hunter,Tionna Moss,Outside Hitter,Sr.,,"Colorado Springs, CO",Sierra
Hunter,Natalie  Polanco,Libero,So.,,"Bronx, NY",Preston
Hunter,Erin Flores,Libero,Fr.,,"Elmhurst, NY",Maspeth High School
Hunter,Pearl Mensah,Middle Blocker,Sr.,,"Accra, Ghana",Aquinas
Hunter,Kiara Abreu,Setter,Sr.,,"Middletown, NY",Middletown High School
Hunter,Tessa  Winklemann,Outside Hitter,Jr.,,"Grand Haven, MI",Grand Haven
Hunter,Dibjot Kaur,Outside Hitter,So.,,"Monroe, NJ",Monroe Township
Hunter,Kayla Treadwell,Libero,Sr.,,"New Hyde Park, NY",New Hyde Park Memorial
Hunter,Izabella Williams,Outside Hitter,So.,,"Denver, CO",Thomas Jefferson
Hunter,Lily Mattison,Middle Blocker,So.,,"Fairfield, CT",St. Joseph
Illinois Col.,Haylie Orton,Middle Blocker,So.,,"Mahomet, Ill.",Mahomet Seymour
Illinois Col.,Paige Palmer,Defensive Specialist/Libero,Jr.,,"New Virginia, Iowa",William Penn University
Illinois Col.,Kahli O'Neal,Setter,Fr.,,"Catoosa, Okla.",Catoosa
Illinois Col.,Jen Humbolt,Defensive Specialist/Libero,Sr.,,"Ste. Genevieve, Mo.",Ste. Genevieve
Illinois Col.,Nevaeh Gould,Defensive Specialist/Libero,So.,,"Decatur, Ill.",Warrensburg Latham
Illinois Col.,Maya Stovall,Outside Hitter/Defensive Specialist,Sr.,,"Maywood, Ill.",IC catholic prep
Illinois Col.,Paige Knuffman,Outside Hitter,Sr.,,"Liberty, Ill.",Liberty
Illinois Col.,Laura Kaiser,Middle Blocker,So.,,"Chatham, Ill.",Glenwood
Illinois Col.,Summer Brandis,Setter/Defensive Specialist,So.,,"Taylorville, Ill.",Taylorville
Illinois Col.,Keyleigh Thomas,Middle Blocker/Outside Hitter,So.,,"Peoria, Ariz.",Sunrise Mountain
Illinois Col.,Ella Ausmus,Middle Blocker,Fr.,,"Eureka, Ill.",Eureka
Illinois Col.,Abby Buchanan-Kenzinger,Opposite Hitter,So.,,"Oak Lawn, Ill.",Richards
Illinois Col.,Mady Salisbury,Defensive Specialist/Outside Hitter,Fr.,,"Deer Creek, Ill.",Dee-Mack
Illinois Col.,Alyssa Burglund,Opposite Hitter,So.,,"Newburgh, Ind.",Castle
Illinois Col.,Ligaya Garibay,Outside Hitter / Opposite,Jr.,,"Waukegan, Ill.",College of Lake County
Illinois Col.,Riley Drake,Outside Hitter,Fr.,,"Jacksonville, Ill.",Jacksonville
Illinois Col.,Alex Johnson,Defensive Specialist/Libero,Jr.,,"Chatham, Ill.",Glenwood
Illinois Col.,Ella Middleton,Defensive Specialist/Libero,So.,,"Bethalto, Ill.",Civic Memorial
Adelphi,Jaydin Nowak,Defensive Specialist,Jr.,,"Monroe, Mich.",St. Mary Catholic Central
Adelphi,Jamie  Yonker,Libero,Gr.,,"Old Bethpage, N.Y.",Plainview-Old Bethpage JFK (New York Tech)
Adelphi,Jamaya  Harris,Defensive Specialist,Jr.,,"Murrieta, Calif.",Vista Murrieta
Adelphi,Lexi Demirovic,Middle Blocker,So.,,"Yonkers, N.Y.",Yonkers
Adelphi,Brenna  Valsted,Setter,Gr.,,"Louisville, Ky.",Louisville Male
Adelphi,Madeleine Chaapel,Outside Hitter,Fr.,,"Katy, Texas",Katy
Adelphi,Zoe West,Outside Hitter,Jr.,,"Corona, Calif.",Santiago
Adelphi,Gabrielle  Stafford,Outside Hitter,Fr.,,"DeWitt, Mich.",DeWitt
Adelphi,Sofia Pinzon,Outside Hitter,Gr.,,"Parkland, Fla.",St. Thomas Aquinas (H.S.)
Adelphi,Kambel Fiser,Setter,Jr.,,"Seattle, Wash.",West Seattle
Adelphi,Samantha Meehan,Outside Hitter,Sr.,,"Pueblo, Colo.",Pueblo County
Adelphi,Noelle Alberda,Middle Blocker/Right Side,Jr.,,"Kenmore, Wash.",Kings
Adelphi,Lilyen  McCarthy,Middle Blocker,Jr.,,"Mackinaw, Ill.",Deer Creek-Mackinaw
Adelphi,Anna Oden,Middle Blocker,Jr.,,"Boca Raton, Fla.",Boca Raton Christian
Adelphi,Macarty  McQueen,Outside Hitter,So.,,"Carmel, Ind.",Carmel
Adelphi,Delaney Kiendra,Middle Blocker,Jr.,,"Murrieta, Calif.",Murrieta Mesa
Adelphi,Katie Brokes,Defensive Specialist/Libero,Fr.,,"Berkeley Heights, N.J.",Governor Livingston
Arkansas St.,Abby Harris,Right-Side Hitter,So.,,"Rogers, Ark.",Rogers HS
Arkansas St.,Sarah Martinez,Libero/Defensive Specialist,Jr.,,"Flower Mound, Texas",Flower Mound HS / Houston
Arkansas St.,Libby Gee-Weiler,Libero/Defensive Specialist,Fr.,,"McCordsville, Ind.",Mt. Vernon HS
Arkansas St.,Bailey Helzer,Outside Hitter,So.,,"Oakland, Neb.",Oakland-Craig HS
Arkansas St.,Yazmyn Billings,Middle Blocker,So.,,"Atlanta, Ga.",Kipp Atlanta Collegiate HS
Arkansas St.,Kaitlin Whitlock,Outside Hitter,Fr.,,"San Antonio, Texas",Clark HS
Arkansas St.,Erin Madigan,Setter,Fr.,,"Macomb, Mich.",Dakota HS
Arkansas St.,Maddie Wiersema,Right-Side Hitter,So.,,"Fremont, Mich.",Western Michigan Christian
Arkansas St.,Tegan Seyring,Outside Hitter/Right Side,Gr.,,"Yorktown, Ind.",Yorktown HS
Arkansas St.,Mia Maloney,Libero/Defensive Specialist,Fr.,,"Louisville, Ky.",Holy Cross HS
Arkansas St.,Bailey Hall,Outside Hitter,Fr.,,"Memphis, Tenn.",Arlington HS
Arkansas St.,Haley Glunz,Middle Blocker,Fr.,,"Aurora, Colo.",Grandview HS
Arkansas St.,Kyla Wiersema,Middle Blocker,So.,,"Fremont, Mich.",Western Michigan Christian
Arkansas St.,Brianna Hollingshed,Middle Blocker,Sr.,,"Pickerington, Ohio",Pickerington North HS
Arkansas St.,Reese Watters,Right-Side Hitter,Fr.,,"Greenbrier, Ark.",Greenbrier HS
Arkansas St.,Valeria Ortiz,Setter,Fr.,,"Laredo, Texas",John B. Alexander HS
Arkansas St.,Ilayda Dincer,Outside Hitter,Sr.,,"Ankara, Turkey",Temple
Ill. Wesleyan,Raegan Watts,Defensive Specialist/Libero,So.,,"Forsyth, Ill.",Maroa Forsyth
Ill. Wesleyan,Abby Erdman,Setter,Jr.,,"Aurora, Ill.",Metea Valley
Ill. Wesleyan,Cailin Shannon,Outside Hitter/Right Side,Fr.,,"Bloomingdale, Ill.",Lake Park
Ill. Wesleyan,Mallory Monahan,Outside Hitter,Fr.,,"Champaign, Ill.",Saint Thomas More
Ill. Wesleyan,Taylor French,Outside Hitter,So.,,"Romeoville, Ill.",Plainfield East
Ill. Wesleyan,Lily Summers,Outside Hitter,Sr.,,"Plainfield, Ill.",Plainfield North
Ill. Wesleyan,Olivia deGuzman,Defensive Specialist/Libero,Fr.,,"Wauwatosa, Wis.",Divine Savior Holy Angels
Ill. Wesleyan,Paige Peterson,Middle Hitter,Fr.,,"Bloomington, Ill.",Central Catholic
Ill. Wesleyan,Katie Gund,Setter,So.,,"Pewaukee, Wis.",Pewaukee
Ill. Wesleyan,Maddie Dryfhout,Outside Hitter,Sr.,,"Orland Park, Ill.",Chicago Christian
Ill. Wesleyan,Eleanor Palmer,Middle Hitter,Fr.,,"Chicago, Ill.",DePaul College Prep
Ill. Wesleyan,Taylor Babec,Middle Hitter,Sr.,,"Joliet, Ill.",Plainfield Central
Ill. Wesleyan,Carly Kuehl,Outside Hitter/Right Side,Jr.,,"St. Louis, Mo.",Parkway West
Ill. Wesleyan,Annika Altekruse,Right Side,Sr.,,"Naperville, Ill.",Metea Valley
Ill. Wesleyan,Jordan Pierce,Setter,Sr.,,"Bonfield, Ill.",Herscher
Ill. Wesleyan,Morgan Harrington,Middle Hitter/Right Side,Jr.,,"Plainfield, Ill.",Plainfield East
Ill. Wesleyan,Halle Smith,Outside Hitter/Defensive Specialist,So.,,"Farina, Ill.",South Central
Ill. Wesleyan,Sophia Feeney,Setter/Defensive Specialist,Fr.,,"Bloomington, Ill.",Normal Community
Ill. Wesleyan,Faith Washko,Defensive Specialist/Libero,Sr.,,"Springfield, Ill.",Sacred Heart-Griffin
Ill. Wesleyan,Jessie Sariev,Middle Hitter,Jr.,,"Schaumburg, Ill.",Schaumburg
Crown (MN),Morgan Wilson,DS,Fr.,,"Oshkosh, WI",Oshkosh North
Crown (MN),Emma Holey,DS,So.,,"Little Falls, MN",Little Falls Community
Crown (MN),Gabby Fawcett,MB,Fr.,,"Grand Rapids, MN",Homeschool
Crown (MN),Sydney Cotten,DS/OH,Fr.,,"Grand Meadow, MN",Grand Meadow
Crown (MN),Maggie Claussen,DS,Fr.,,"Staples, MN",Homeschool
Crown (MN),McKenzi Brewington,DS,So.,,"Genoa City, WI",Badger
